"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"RLUCUUS",197611,0.602,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197612,0.6,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197613,0.59,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197701,0.6,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197702,0.607,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197703,0.612,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197704,0.619,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197705,0.626,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197706,0.63,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197707,0.631,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197708,0.63,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197709,0.629,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197710,0.627,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197711,0.626,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197712,0.627,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197713,0.622,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197801,0.607,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197802,0.605,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197803,0.604,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197804,0.606,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197805,0.611,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197806,0.62,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197807,0.629,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197808,0.638,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197809,0.644,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197810,0.645,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197811,0.65,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197812,0.659,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197813,0.626,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197901,0.668,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197902,0.681,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197903,0.706,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197904,0.753,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197905,0.797,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197906,0.856,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197907,0.908,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197908,0.943,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197909,0.973,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197910,0.982,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197911,0.994,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197912,1.018,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",197913,0.857,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198001,1.086,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198002,1.159,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198003,1.202,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198004,1.212,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198005,1.215,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198006,1.217,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198007,1.216,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198008,1.21,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198009,1.197,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198010,1.188,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198011,1.188,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198012,1.197,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198013,1.191,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198101,1.238,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198102,1.321,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198103,1.352,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198104,1.344,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198105,1.333,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198106,1.324,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198107,1.315,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198108,1.31,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198109,1.305,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198110,1.299,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198111,1.297,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198112,1.293,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198113,1.311,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198201,1.285,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198202,1.26,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198203,1.206,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198204,1.148,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198205,1.166,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198206,1.242,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198207,1.263,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198208,1.254,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198209,1.236,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198210,1.219,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198211,1.207,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198212,1.181,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198213,1.222,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198301,1.15,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198302,1.099,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198303,1.064,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198304,1.131,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198305,1.177,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198306,1.197,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198307,1.207,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198308,1.203,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198309,1.189,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198310,1.172,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198311,1.156,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198312,1.146,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198313,1.157,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198401,1.131,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198402,1.125,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198403,1.125,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198404,1.145,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198405,1.154,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198406,1.147,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198407,1.129,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198408,1.116,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198409,1.12,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198410,1.127,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198411,1.124,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198412,1.109,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198413,1.129,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198501,1.06,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198502,1.041,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198503,1.071,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198504,1.119,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198505,1.144,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198506,1.153,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198507,1.154,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198508,1.143,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198509,1.129,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198510,1.117,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198511,1.123,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198512,1.123,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198513,1.115,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198601,1.107,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198602,1.034,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198603,0.894,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198604,0.815,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198605,0.852,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198606,0.885,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198607,0.822,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198608,0.778,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198609,0.797,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198610,0.771,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198611,0.762,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198612,0.764,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198613,0.857,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198701,0.806,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198702,0.848,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198703,0.856,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198704,0.879,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198705,0.888,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198706,0.906,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198707,0.921,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198708,0.946,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198709,0.94,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198710,0.931,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198711,0.928,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198712,0.912,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198713,0.897,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198801,0.881,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198802,0.859,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198803,0.85,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198804,0.883,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198805,0.911,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198806,0.91,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198807,0.923,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198808,0.945,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198809,0.933,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198810,0.91,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198811,0.904,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198812,0.885,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198813,0.899,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198901,0.876,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198902,0.886,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198903,0.907,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198904,1.047,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198905,1.098,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198906,1.093,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198907,1.075,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198908,1.034,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198909,1.007,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198910,1.001,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198911,0.975,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198912,0.961,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",198913,0.998,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",199001,1.006,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",199002,1.011,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
"RLUCUUS",199003,0.999,1,"Leaded Regular Gasoline, U.S. City Average Retail Price","Dollars per Gallon Including Taxes"
